date_filling,batch_number_gp,date_bulk_prepared,batch_number_bulk,date_aroma_added,trademark_name,label_name,quantity_units,volume,notes,packaging_type,allowed_for_shipment
,01/25(1),1/16/2025,,,L070,Зволожуюча сиворотка з гіалуроновою кислотою та олією бавовни,,,,,дозволено
,07/01/25,1/17/2025,,,Марченко,Скраб de-stress,,,,,дозволено
,07/01/25,1/17/2025,,,Марченко,Скраб white strawberry,,,,,дозволено
,07/01/25,12/24/2024,,,Марченко,Гель для душу chilli pepper,,,,,дозволено
,07/01/25,12/24/2024,,,Марченко,Гель для душу vetiver dore/glow,,,,,дозволено
,07/01/25,12/17/2024,,,Марченко,"Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією, RP024 vetiver dore/glow",,,,,дозволено
,07/01/25,12/24/2024,,,Марченко,Гель для душу jonquil/white mirage,,,,,дозволено
,07/01/25,12/17/2024,,,Марченко,"Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією, RP024 jonquil/white mirage",,,,,дозволено
,07/01/25,12/17/2024,,,Марченко,"Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією, RP024 chilli pepper",,,,,дозволено
1/20/2025,01/25(1),1/10/2025,,,MLN003,"SHAMPOO HAIR BALANCE шампунь, біла етикетка, RP003",,,,"флакон HDPE білий 450мл, кришка (фліп-топ) РР біла 24/410",дозволено
1/21/2025,21/01/25,11/27/2024,,,Лотус,"SHAMPOO XTREME REPAIR шампунь, чорна етикетка",,,,,дозволено
,21/01/25,11/28/2024,,,Лотус,Кристали для волосся,,,,,дозволено
,01/25(1),1/8/2025,,,MLN043,Термозащита tester,,,,,дозволено
,01/25(1),1/10/2025,,,MLN025,"tester 50 ml MASK HAIR BALANCE, біла етикетка",,,,,дозволено
,01/25(1),1/21/2025,,,S071,Скраб Барбі,,,,,дозволено
1/22/2025,22/01/25,12/16/2024,,,Сьомушкіна,"Чоловічий шампунь з ніацинамідом Radiant Bliss, RP004",,,,,дозволено
,01/25(1),1/22/2025,,,S033,"Сіль для ванни ""Alfonso Mango""",,,,,дозволено
,01/25(1),1/22/2025,,,S034,"Сіль для ванни ""Very Berry""",,,,,дозволено
,01/25(1),1/21/2025,,,S069,Сіль для Ванни  Salt Barbie,,,,,дозволено
1/23/2025,23/01/25,1/8/2025,,,Crumb,"Гель-скраб Sea Salt, RP109",,,,,дозволено
,23/01/25,1/8/2025,,,Crumb,"Гель-скраб Tabacco, RP109",,,,,дозволено
,23/01/25,1/8/2025,,,Crumb,"Гель-скраб Cannabis, RP109",,,,,дозволено
,23/01/25,11/27/2024,,,Меркелова,"SHAMPOO XTREME REPAIR шампунь, чорна етикетка",,,,,дозволено
,23/01/25,8/29/2024,,,Меркелова,Маска біла,,,,,дозволено
,23/01/25,1/21/2025,,,Меркелова,"CONDITIONER XTREME REPAIR, кондиціонер , чорна етикетка",,,,,дозволено
1/24/2025,24/01/25,12/13/2024,,,Пухкенко,"Лосьйон для тіла rouge chil/Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією, RP024",,,,,дозволено
,24/01/25,12/13/2024,,,Пухкенко,"Лосьйон для тіла cherry me/Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією, RP024",,,,,дозволено
1/27/2025,01/25(1),1/14/2025,,,S056,"Піна Bubble Bar ""Love is...""",,,,,дозволено
1/28/2025,01/25(1),1/24/2025,,,L334,Пілінг диски Lelya,,,,,дозволено
,01/25(1),1/28/2025,,,S066,Сіль для Ванни Радуга Salt Rainbow,,,,,дозволено
,01/25(1),1/9/2025,,,S055,"Піна Bubble Bar ""Rainbow""",,,,,дозволено
,01/25(1),1/8/2025,,,S109,Hand Cream Lost Cherry,,,,,дозволено
,01/25(1),1/8/2025,,,OASIS008,"Hand Cream Lost Cherry Tom Ford, RP065",,,,"Флакон PET білий 300мл, помпа лосьйонна (РР, РЕ, LDPE, HDPE, GLASS, STN STL) чорна",дозволено
1/29/2025,01/25(1),12/17/2025,,,L144,"Шампунь ""Розмариновий"" для жирного волосся",,,,,дозволено
